Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.4351648351648351	13369	0.9					missense_variant
AL121890.3	0.03626373626373626	346671						
RASSF2	0.07252747252747252	124003						
TMEM230	0.01813186813186813	413498						
AL121890.5	0.027197802197802195	361735						
ADRA1D	0.009065934065934065	450531						
PRNT	0.09065934065934064	41063						
CDS2	0.01813186813186813	427274						
SLC23A2	0.03626373626373626	310688						
AL121890.4	0.027197802197802195	368549						
AL133396.2	0.0815934065934066	61695						
PCNA	0.01813186813186813	427021						
AL121890.2	0.027197802197802195	350716						
PRND	0.09065934065934064	22304						
AL121781.1	0.05439560439560439	223967						
AL139350.1	0.04532967032967032	267932						
