Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.04532967032967032	255909						
SLC4A11	0.027197802197802195	393400						
DDRGK1	0.12692307692307692	428274	0.6					
RNF24	0.027197802197802195	382599						
LINC01730	0.06346153846153844	175398						
C20orf194	0.05439560439560439	225334						
AL109976.1	0.027197802197802195	393254						
CENPB	0.06346153846153844	153781						
FASTKD5	0.009065934065934065	473094						
HSPA12B	0.07252747252747252	99726						
AL356414.1	0.01813186813186813	442206						
ITPA	0.01813186813186813	424091						
AP5S1	0.06346153846153844	187565						
AL031670.1	0.04532967032967032	290441						
SPEF1	0.07252747252747252	148489						
SIGLEC1	0.0815934065934066	74169						
UBOX5	0.009065934065934065	472763						
MAVS	0.05439560439560439	213840						
LZTS3	0.009065934065934065	459367						
GFRA4	0.10879120879120878	30440	0.1					
C20orf27	0.07252747252747252	135428						
SMOX	0.06346153846153846	488021	0.3					
ATRN	0.0909340659340659	161941						intron_variant
ADAM33	0.09065934065934064	49287						
PANK2	0.04532967032967032	255880						
CDC25B	0.06346153846153844	153813						
