Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.05439560439560439						0.6	
AL353194.1	0.04532967032967032	259539						
RNF24	0.07252747252747252	132849						
LINC01433	0.09065934065934064	44658						
ADRA1D	0.07252747252747252	100667						
LINC01730	0.03626373626373626	340050						
CENPB	0.07252747252747252	361667					0.5	
HSPA12B	0.07252747252747252	415722					0.6	
AL356414.1	0.0815934065934066	73242						
AP5S1	0.04532967032967032	327883					0.1	
AL031670.1	0.05439560439560439	225007						
SPEF1	0.07252747252747252	366959					0.5	
SIGLEC1	0.06346153846153846	441279					0.5	
PRND	0.01813186813186813						0.2	
MAVS	0.03626373626373626	301608						
AL121781.1	0.03626373626373626	327231						
AL139350.1	0.04532967032967032	283266						
GFRA4	0.009065934065934065	485008						
C20orf27	0.027197802197802195	380020						
SMOX	0.245054945054945	27427	0.7					intron_variant
ADAM33	0.009065934065934065	466161						
PANK2	0.07252747252747252	259568					0.3	
CDC25B	0.07252747252747252	361635					0.5	
