Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.03626373626373626	318460						
AL121890.3	0.09065934065934064	41580						
RASSF2	0.06346153846153844	181088						
PROKR2	0.03626373626373626	309673						
AL109935.2	0.009065934065934065	494420						
TMEM230	0.10879120879120878	108407					0.4	
AL121890.5	0.0815934065934066	56644						
AL121757.1	0.01813186813186813	441142						
PRNT	0.04532967032967032	264028						
CDS2	0.07252747252747252	122183						
SLC23A2	0.17252747252747253	5597	0.3					intron_variant
AL121757.2	0.01813186813186813	402868						
AL121890.4	0.0815934065934066	63458						
AL133396.2	0.05439560439560439	243396						
PCNA	0.07252747252747252	121930						
AL121890.2	0.09065934065934064	45625						
PRND	0.04532967032967032	282787						
LINC00658	0.009065934065934065	466398						
