Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.0815934065934066	87127						
AL121890.3	0.01813186813186813	447167						
RASSF2	0.05439560439560439	224499						
TMEM230	0.03626373626373626						0.4	
AL121890.5	0.009065934065934065	462231						
LINC01433	0.01813186813186813	406044						
ADRA1D	0.11785714285714285	350035					1	
PRNT	0.12692307692307692	141559					0.6	
SLC23A2	0.01813186813186813	411184						
AL121890.4	0.009065934065934065	469045						
AL133396.2	0.06346153846153844	162191						
AL121890.2	0.009065934065934065	451212						
PRND	0.1631868131868132	122800					1	
AL121781.1	0.07252747252747252	123471						
AL139350.1	0.06346153846153844	167436						
SMOX	0.009065934065934065	478129						
