Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
GNRH2	0.03626373626373626	311949						
SLC4A11	0.07252747252747252	116012						
AVP	0.04532967032967032	270847						
DDRGK1	0.06346153846153844	150886						
PTPRA	0.009065934065934065	491387						
OXT	0.04532967032967032	283951						
LINC01730	0.009065934065934065	452786						
C20orf194	0.10906593406593405	52054						intron_variant
AL109976.1	0.07252747252747252	115866						
CENPB	0.01813186813186813	431169						
FASTKD5	0.06346153846153844	195706						
HSPA12B	0.027197802197802195	377114						
ITPA	0.21758241758241756	146703	0.8					
AP5S1	0.009065934065934065	464953						
SPEF1	0.01813186813186813	425877						
SIGLEC1	0.027197802197802195	351557						
MRPS26	0.03626373626373626	309519						
UBOX5	0.06346153846153844	195375						
MAVS	0.009065934065934065	491228						
LZTS3	0.06346153846153844	181979						
GFRA4	0.03626373626373626	307828						
C20orf27	0.01813186813186813	412816						
ATRN	0.07252747252747252	115447						
ADAM33	0.03626373626373626	326675						
UBOX5-AS1	0.05439560439560439	248658						
CDC25B	0.01813186813186813	431201						
