Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.009065934065934065	497804						
AL353194.1	0.03626373626373626	299564						
RNF24	0.06346153846153844	172874						
LINC01433	0.09065934065934064	4633						
ADRA1D	0.0815934065934066	60642						
LINC01730	0.027197802197802195	380075						
CENPB	0.01813186813186813	401692						
HSPA12B	0.009065934065934065	455747						
AL356414.1	0.07252747252747252	113267						
AP5S1	0.027197802197802195	367908						
AL031670.1	0.04532967032967032	265032						
SPEF1	0.01813186813186813	406984						
SIGLEC1	0.009065934065934065	481304						
MAVS	0.03626373626373626	341633						
AL121781.1	0.04532967032967032	287206						
AL139350.1	0.05439560439560439	243241						
C20orf27	0.01813186813186813	420045						
SMOX	0.26291208791208787	67452	1					
PANK2	0.03626373626373626	299593						
CDC25B	0.01813186813186813	401660						
