Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.009065934065934065	496654						
AL353194.1	0.03626373626373626	300714						
RNF24	0.06346153846153844	174024						
LINC01433	0.09065934065934064	3483						
ADRA1D	0.0815934065934066	59492						
LINC01730	0.027197802197802195	381225						
PRNT	0.01813186813186813						0.2	
CENPB	0.01813186813186813	402842						
HSPA12B	0.009065934065934065	456897						
AL356414.1	0.07252747252747252	114417						
AP5S1	0.027197802197802195	369058						
AL031670.1	0.04532967032967032	266182						
SPEF1	0.027197802197802195	408134					0.1	
SIGLEC1	0.01813186813186813	482454					0.1	
PRND	0.009065934065934065						0.1	
MAVS	0.03626373626373626	342783						
AL121781.1	0.04532967032967032	286056						
AL139350.1	0.05439560439560439	242091						
C20orf27	0.01813186813186813	421195						
SMOX	0.26291208791208787	68602	1					
PANK2	0.03626373626373626	300743						
CDC25B	0.01813186813186813	402810						
