Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.05439560439560439	233439						
RNF24	0.07252747252747252	106749						
LINC01433	0.0815934065934066	70758						
ADRA1D	0.07252747252747252	126767						
LINC01730	0.03626373626373626	313950						
CENPB	0.03626373626373626	335567						
HSPA12B	0.027197802197802195	389622						
AL356414.1	0.09065934065934064	47142						
AP5S1	0.03626373626373626	301783						
AL031670.1	0.06346153846153844	198907						
SPEF1	0.03626373626373626	340859						
SIGLEC1	0.01813186813186813	415179						
PRND	0.01813186813186813						0.2	
MAVS	0.04532967032967032	275508						
AL121781.1	0.027197802197802195	353331						
AL139350.1	0.03626373626373626	309366						
GFRA4	0.009065934065934065	458908						
C20orf27	0.027197802197802195	353920						
SMOX	0.19065934065934062	1327	0.4					intron_variant
ADAM33	0.01813186813186813	440061						
PANK2	0.05439560439560439	233468						
CDC25B	0.03626373626373626	335535						
