Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.05439560439560439	240351						
RASSF2	0.027197802197802195	377723						
RNF24	0.01813186813186813	430327						
LINC01433	0.04532967032967032	252820						
ADRA1D	0.06346153846153844	196811						
PRNT	0.04532967032967032	294783						
AL356414.1	0.027197802197802195	370720						
AL133396.2	0.03626373626373626	315415						
PRND	0.04532967032967032	276024						
AL121781.1	0.09065934065934064	29753						
AL139350.1	0.09065934065934064	14212						
SMOX	0.03626373626373626	324905						
