Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.04532967032967032	256342						
RNF24	0.07252747252747252	129652						
LINC01433	0.14505494505494504	47855			0.6			
ADRA1D	0.07252747252747252	103864						
LINC01730	0.03626373626373626	336853						
CENPB	0.027197802197802195	358470						
HSPA12B	0.03626373626373626	412525					0.2	
AL356414.1	0.0815934065934066	70045						
AP5S1	0.03626373626373626	324686						
AL031670.1	0.05439560439560439	221810						
SPEF1	0.027197802197802195	363762						
SIGLEC1	0.01813186813186813	438082						
MAVS	0.04532967032967032	298411						
AL121781.1	0.03626373626373626	330428						
AL139350.1	0.04532967032967032	286463						
GFRA4	0.009065934065934065	481811						
C20orf27	0.027197802197802195	376823						
SMOX	0.28131868131868126	24230	0.9					intron_variant
ADAM33	0.009065934065934065	462964						
PANK2	0.04532967032967032	256371						
CDC25B	0.027197802197802195	358438						
