Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.01813186813186813	423439						
AL353194.1	0.027197802197802195	373929						
RNF24	0.05439560439560439	247239						
LINC01433	0.0815934065934066	69732						
ADRA1D	0.09065934065934064	13723						
LINC01730	0.009065934065934065	454440						
PRNT	0.009065934065934065	477871						
CENPB	0.009065934065934065	476057						
AL356414.1	0.06346153846153844	187632						
AP5S1	0.01813186813186813	442273						
AL031670.1	0.03626373626373626	339397						
SPEF1	0.009065934065934065	481349						
AL133396.2	0.009065934065934065	498503						
PRND	0.009065934065934065	459112						
MAVS	0.01813186813186813	415998						
AL121781.1	0.05439560439560439	212841						
AL139350.1	0.06346153846153844	168876						
C20orf27	0.009065934065934065	494410						
SMOX	0.07252747252747252	141817						
ATRN	0.05439560439560439		0.3					
PANK2	0.027197802197802195	373958						
CDC25B	0.009065934065934065	476025						
