Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.07252747252747252	109201						
AL121890.3	0.04532967032967032	250839						
RASSF2	0.15439560439560437	28171	0.2					intron_variant
TMEM230	0.10879120879120878	317666					0.8	
AL121890.5	0.04532967032967032	265903						
PRNT	0.0815934065934066	54769						
CDS2	0.03626373626373626	331442						
SLC23A2	0.05439560439560439	214856						
AL121890.4	0.04532967032967032	272717						
AL133396.2	0.09065934065934064	34137						
PCNA	0.03626373626373626	331189						
AL121890.2	0.04532967032967032	254884						
PRND	0.0815934065934066	73528						
AL121781.1	0.03626373626373626	319799						
AL139350.1	0.027197802197802195	363764						
