Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.09065934065934064	35503						
AL121890.3	0.03626373626373626	324537						
RASSF2	0.07252747252747252	101869						
PROKR2	0.03626373626373626						0.4	
TMEM230	0.06346153846153846	391364					0.4	
AL121890.5	0.03626373626373626	339601						
ADRA1D	0.07252747252747252	472665					0.7	
PRNT	0.09065934065934064	18929						
CDS2	0.027197802197802195	405140					0.1	
SLC23A2	0.04532967032967032	288554						
AL121890.4	0.03626373626373626	346415						
AL133396.2	0.09065934065934064	39561						
PCNA	0.06346153846153846	404887					0.5	
AL121890.2	0.03626373626373626	328582						
PRND	0.09065934065934064	170						
AL121781.1	0.05439560439560439	246101						
AL139350.1	0.04532967032967032	290066						
SMOX	0.027197802197802195						0.3	
