Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.03626373626373626	316210						
AL121890.3	0.09065934065934064	43830						
RASSF2	0.06346153846153844	178838						
PROKR2	0.03626373626373626	311923						
AL109935.2	0.009065934065934065	496670						
TMEM230	0.12692307692307692	110657					0.6	
AL121890.5	0.0815934065934066	58894						
AL121757.1	0.01813186813186813	443392						
PRNT	0.04532967032967032	261778						
CDS2	0.07252747252747252	124433						
SLC23A2	0.19065934065934065	7847	0.4					intron_variant
AL121757.2	0.01813186813186813	405118						
AL121890.4	0.0815934065934066	65708						
AL133396.2	0.05439560439560439	241146						
PCNA	0.07252747252747252	124180						
AL121890.2	0.09065934065934064	47875						
PRND	0.04532967032967032	280537						
LINC00658	0.009065934065934065	468648						
