Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.027197802197802195						0.3	
AL353194.1	0.04532967032967032	250263						
RNF24	0.07252747252747252	123573						
LINC01433	0.0815934065934066	53934						
ADRA1D	0.07252747252747252	109943						
LINC01730	0.03626373626373626	330774						
CENPB	0.027197802197802195	352391						
HSPA12B	0.01813186813186813	406446						
AL356414.1	0.0815934065934066	63966						
AP5S1	0.03626373626373626	318607						
AL031670.1	0.05439560439560439	215731						
SPEF1	0.027197802197802195	357683						
SIGLEC1	0.01813186813186813	432003						
MAVS	0.04532967032967032	292332						
AL121781.1	0.03626373626373626	336507						
AL139350.1	0.04532967032967032	292542						
GFRA4	0.009065934065934065	475732						
C20orf27	0.027197802197802195	370744						
SMOX	0.26318681318681314	18151	0.8					intron_variant
ADAM33	0.009065934065934065	456885						
PANK2	0.04532967032967032	250292						
CDC25B	0.027197802197802195	352359						
