Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.01813186813186813	445832						
AL121890.3	0.0815934065934066	85792						
RASSF2	0.06346153846153846	308460					0.3	
PROKR2	0.06346153846153844	182301						
AL109935.2	0.027197802197802195	367048						
TMEM230	0.21758241758241756	18965	0.6				0.2	
AL121890.5	0.0815934065934066	70728						
AL121757.1	0.03626373626373626	313770						
LINC00654	0.027197802197802195	394538						
AL109935.1	0.01813186813186813	401560						
PRNT	0.03626373626373626	391400					0.1	
CDS2	0.13626373626373625	5189	0.1					intron_variant
GPCPD1	0.009065934065934065	478958						
SLC23A2	0.07252747252747252	121775						
AL121757.2	0.04532967032967032	275496						
AL121890.4	0.0815934065934066	63914						
AL133396.2	0.027197802197802195	370768						
PCNA	0.2357142857142857	5442	0.8					
AL121890.2	0.0815934065934066	81747						
PRND	0.027197802197802195	410159					0.1	
LINC00658	0.03626373626373626	339026						
LINC01729	0.027197802197802195	377934						
