Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.26318681318681314	10210	0.8					intron_variant
AL121890.3	0.027197802197802195	349830						
RASSF2	0.07252747252747252	127162						
TMEM230	0.01813186813186813	416657						
AL121890.5	0.027197802197802195	364894						
ADRA1D	0.01813186813186813	447372						
PRNT	0.09065934065934064	44222						
CDS2	0.01813186813186813	430433						
SLC23A2	0.03626373626373626	313847						
AL121890.4	0.027197802197802195	371708						
AL133396.2	0.0815934065934066	64854						
PCNA	0.01813186813186813	430180						
AL121890.2	0.027197802197802195	353875						
PRND	0.09065934065934064	25463						
AL121781.1	0.05439560439560439	220808						
AL139350.1	0.04532967032967032	264773						
