Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.04532967032967032	287557						
RNF24	0.06346153846153844	160867						
LINC01433	0.09065934065934064	16640						
ADRA1D	0.0815934065934066	72649						
LINC01730	0.027197802197802195	368068						
CENPB	0.027197802197802195	389685						
HSPA12B	0.09065934065934064	443740					0.8	
AL356414.1	0.07252747252747252	101260						
AP5S1	0.027197802197802195	355901						
AL031670.1	0.04532967032967032	253025						
SPEF1	0.03626373626373626	394977					0.1	
SIGLEC1	0.01813186813186813	469297					0.1	
PRND	0.027197802197802195						0.3	
MAVS	0.03626373626373626	329626						
AL121781.1	0.04532967032967032	299213						
AL139350.1	0.04532967032967032	255248						
GFRA4	0.027197802197802195						0.3	
C20orf27	0.01813186813186813	408038						
SMOX	0.2903846153846153	55445	1					intron_variant
ADAM33	0.009065934065934065	494179						
PANK2	0.04532967032967032	287586						
CDC25B	0.027197802197802195	389653						
