Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL121890.3	0.01813186813186813	446990						
PROKR2	0.06346153846153844	178897						
AL109935.2	0.09065934065934064	5850						
TMEM230	0.027197802197802195	380163						
AL121890.5	0.01813186813186813	431926						
AL121757.1	0.14505494505494504	47428	0.3					
LINC00654	0.09065934065934064	33340						
MCM8	0.009065934065934065	457386						
AL109935.1	0.09065934065934064	40362						
SHLD1	0.04532967032967032	257127						
TRMT6	0.009065934065934065	457292						
CHGB	0.01813186813186813	418244						
CDS2	0.027197802197802195	366387						
GPCPD1	0.07252747252747252	117760						
SLC23A2	0.009065934065934065	482973						
AL121757.2	0.0815934065934066	85702						
AL121890.4	0.01813186813186813	425112						
PCNA	0.027197802197802195	366640						
AL121890.2	0.01813186813186813	442945						
LINC00658	0.09065934065934064	22172						
LINC01729	0.09065934065934064	16736						
AL035461.3	0.009065934065934065	457683						
