Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.027197802197802195	392272						
AL353194.1	0.01813186813186813	405096						
RNF24	0.04532967032967032	278406						
LINC01433	0.07252747252747252	100899						
ADRA1D	0.09065934065934064	44890						
LINC01730	0.009065934065934065	485607						
PRNT	0.01813186813186813	446704						
AL356414.1	0.05439560439560439	218799						
AP5S1	0.009065934065934065	473440						
AL031670.1	0.027197802197802195	370564						
AL133396.2	0.009065934065934065	467336						
PRND	0.01813186813186813	427945						
MAVS	0.01813186813186813	447165						
AL121781.1	0.06346153846153844	181674						
AL139350.1	0.07252747252747252	137709						
SMOX	0.06346153846153844	172984						
PANK2	0.01813186813186813	405125						
