Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.04532967032967032	273324						
RNF24	0.07252747252747252	146634						
LINC01433	0.09065934065934064	30873						
ADRA1D	0.0815934065934066	86882						
LINC01730	0.027197802197802195	353835						
CENPB	0.027197802197802195	375452						
HSPA12B	0.01813186813186813	429507						
AL356414.1	0.0815934065934066	87027						
AP5S1	0.03626373626373626	341668						
AL031670.1	0.05439560439560439	238792						
SPEF1	0.027197802197802195	380744						
SIGLEC1	0.009065934065934065	455064						
MAVS	0.03626373626373626	315393						
AL121781.1	0.03626373626373626	313446						
AL139350.1	0.04532967032967032	269481						
GFRA4	0.009065934065934065	498793						
C20orf27	0.027197802197802195	393805						
SMOX	0.29945054945054944	41212	1					intron_variant
ADAM33	0.009065934065934065	479946						
PANK2	0.04532967032967032	273353						
CDC25B	0.027197802197802195	375420						
