Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.04532967032967032	291985						
RNF24	0.06346153846153844	165295						
LINC01433	0.09065934065934064	12212						
ADRA1D	0.0815934065934066	68221						
LINC01730	0.027197802197802195	372496						
CENPB	0.027197802197802195	394113						
HSPA12B	0.09065934065934064	448168					0.8	
AL356414.1	0.07252747252747252	105688						
AP5S1	0.027197802197802195	360329						
AL031670.1	0.04532967032967032	257453						
SPEF1	0.03626373626373626	399405					0.1	
SIGLEC1	0.01813186813186813	473725					0.1	
PRND	0.027197802197802195						0.3	
MAVS	0.03626373626373626	334054						
AL121781.1	0.04532967032967032	294785						
AL139350.1	0.04532967032967032	250820						
GFRA4	0.027197802197802195						0.3	
C20orf27	0.01813186813186813	412466						
SMOX	0.2903846153846154	59873	1					intron_variant
ADAM33	0.009065934065934065	498607						
PANK2	0.04532967032967032	292014						
CDC25B	0.027197802197802195	394081						
