Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.027197802197802195	387671						
AL121890.3	0.09065934065934064	27631						
RASSF2	0.04532967032967032	250299						
PROKR2	0.05439560439560439	240462						
AL109935.2	0.01813186813186813	425209						
TMEM230	0.27197802197802196	39196	1					
AL121890.5	0.09065934065934064	12567						
AL121757.1	0.027197802197802195	371931						
LINC00654	0.009065934065934065	452699						
AL109935.1	0.009065934065934065	459721						
PRNT	0.03626373626373626	333239						
CDS2	0.24478021978021977	52972	0.9					
SLC23A2	0.22664835164835162	63614	0.8					
AL121757.2	0.03626373626373626	333657						
AL121890.4	0.09065934065934064	5753						
AL133396.2	0.03626373626373626	312607						
PCNA	0.0815934065934066	52719						
AL121890.2	0.09065934065934064	23586						
PRND	0.027197802197802195	351998						
LINC00658	0.027197802197802195	397187						
LINC01729	0.01813186813186813	436095						
