Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.03626373626373626	313523						
AL121890.3	0.09065934065934064	46517						
RASSF2	0.06346153846153844	176151						
PROKR2	0.03626373626373626	314610						
AL109935.2	0.009065934065934065	499357						
TMEM230	0.12692307692307692	113344					0.6	
AL121890.5	0.0815934065934066	61581						
AL121757.1	0.01813186813186813	446079						
PRNT	0.04532967032967032	259091						
CDS2	0.07252747252747252	127120						
SLC23A2	0.22692307692307687	10534	0.6					intron_variant
AL121757.2	0.01813186813186813	407805						
AL121890.4	0.0815934065934066	68395						
AL133396.2	0.05439560439560439	238459						
PCNA	0.07252747252747252	126867						
AL121890.2	0.0815934065934066	50562						
PRND	0.04532967032967032	277850						
LINC00658	0.009065934065934065	471335						
